,Location,Country,City,Borough,County,{
1608,,,,,," United States"": ["
1609,,,,,,
1610,,,,,,
1611,,,,,,
1612,,,,,,
1613,,,,,," United States"": ["
1614,,,,,,
1615,,,,,,
1616,,,,,,
1617,,,,,,
1618,,,,,," United States"": ["
1619,,,,,,
1620,,,,,,
1621,,,,,,
1622,,,,,,
1623,,,,,," United States"": ["
1624,,,,,,
1625,,,,,,
1626,,,,,,
1627,,,,,,
1628,,,,,," United States"": ["
1629,,,,,,
1630,,,,,,
1631,,,,,,
1632,,,,,,
1633,,,,,," United States"": ["
1634,,,,,,
1635,,,,,,
1636,,,,,,
1637,,,,,,
1638,,,,,," United States"": ["
1639,,,,,,
1640,,,,,,
1641,,,,,,
1642,,,,,,
1643,,,,,," United States"": ["
1644,,,,,,
1645,,,,,,
1646,,,,,,
1647,,,,,,
1648,,,,,," United States"": ["
1649,,,,,,
1650,,,,,,
1651,,,,,,
1652,,,,,,
1653,,,,,," United States"": ["
1654,,,,,,
1655,,,,,,
1656,,,,,,
1657,,,,,,
1658,,,,,," United States"": ["
1659,,,,,,
1660,,,,,,
1661,,,,,,
1662,,,,,,
1663,,,,,," United States"": ["
1664,,,,,,
1665,,,,,,
1666,,,,,,
1667,,,,,,
1668,,,,,," United States"": ["
1669,,,,,,
1670,,,,,,
1671,,,,,,
1672,,,,,,
1673,,,,,," United States"": ["
1674,,,,,,
1675,,,,,,
1676,,,,,,
1677,,,,,,
1678,,,,,," United States"": ["
1679,,,,,,
1680,,,,,,
1681,,,,,,
1682,,,,,,
1683,,,,,," United States"": ["
1684,,,,,,
1685,,,,,,
1686,,,,,,
1687,,,,,,
1688,,,,,," United States"": ["
1689,,,,,,
1690,,,,,,
1691,,,,,,
1692,,,,,,
1693,,,,,," United States"": ["
1694,,,,,,
1695,,,,,,
1696,,,,,,
1697,,,,,,
1698,,,,,," United States"": ["
1699,,,,,,
1700,,,,,,
1701,,,,,,
1702,,,,,,
1703,,,,,," United States"": ["
1704,,,,,,
1705,,,,,,
1706,,,,,,
1707,,,,,,
1708,,,,,," United States"": ["
1709,,,,,,
1710,,,,,,
1711,,,,,,
1712,,,,,,
1713,,,,,," United States"": ["
1714,,,,,,
1715,,,,,,
1716,,,,,,
1717,,,,,,
1718,,,,,," United States"": ["
1719,,,,,,
1720,,,,,,
1721,,,,,,
1722,,,,,,
1723,,,,,," United States"": ["
1724,,,,,,
1725,,,,,,
1726,,,,,,
1727,,,,,,
1728,,,,,," United States"": ["
1729,,,,,,
1730,,,,,,
1731,,,,,,
1732,,,,,,
1733,,,,,," United States"": ["
1734,,,,,,
1735,,,,,,
1736,,,,,,
1737,,,,,,
1738,,,,,," United States"": ["
1739,,,,,,
1740,,,,,,
1741,,,,,,
1742,,,,,,
1743,,,,,," United States"": ["
1744,,,,,,
1745,,,,,,
1746,,,,,,
1747,,,,,,
1748,,,,,," United States"": ["
1749,,,,,,
1750,,,,,,
1751,,,,,,
1752,,,,,,
1753,,,,,," United States"": ["
1754,,,,,,
1755,,,,,,
1756,,,,,,
1757,,,,,,
1758,,,,,," United States"": ["
1759,,,,,,
1760,,,,,,
1761,,,,,,
1762,,,,,,
1763,,,,,," United States"": ["
1764,,,,,,
1765,,,,,,
1766,,,,,,
1767,,,,,,
1768,,,,,," United States"": ["
1769,,,,,,
1770,,,,,,
1771,,,,,,
1772,,,,,,
1773,,,,,," United States"": ["
1774,,,,,,
1775,,,,,,
1776,,,,,,
1777,,,,,,
1778,,,,,," United States"": ["
1779,,,,,,
1780,,,,,,
1781,,,,,,
1782,,,,,,
1783,,,,,," United States"": ["
1784,,,,,,
1785,,,,,,
1786,,,,,,
1787,,,,,,
1788,,,,,," United States"": ["
1789,,,,,,
1790,,,,,,
1791,,,,,,
1792,,,,,,
1793,,,,,," United States"": ["
1794,,,,,,
1795,,,,,,
1796,,,,,,
1797,,,,,,
1798,,,,,," United States"": ["
1799,,,,,,
1800,,,,,,
1801,,,,,,
1802,,,,,,
1803,,,,,," United States"": ["
1804,,,,,,
1805,,,,,,
1806,,,,,,
1807,,,,,,
1808,,,,,," United States"": ["
1809,,,,,,
1810,,,,,,
1811,,,,,,
1812,,,,,,
1813,,,,,," United States"": ["
1814,,,,,,
1815,,,,,,
1816,,,,,,
1817,,,,,,
1818,,,,,," United States"": ["
1819,,,,,,
1820,,,,,,
1821,,,,,,
1822,,,,,,
1823,,,,,," United States"": ["
1824,,,,,,
1825,,,,,,
1826,,,,,,
1827,,,,,,
1828,,,,,," United States"": ["
1829,,,,,,
1830,,,,,,
1831,,,,,,
1832,,,,,,
1833,,,,,," United States"": ["
1834,,,,,,
1835,,,,,,
1836,,,,,,
1837,,,,,,
1838,,,,,," United States"": ["
1839,,,,,,
1840,,,,,,
1841,,,,,,
1842,,,,,,
1843,,,,,," United States"": ["
1844,,,,,,
1845,,,,,,
1846,,,,,,
1847,,,,,,
1848,,,,,," United States"": ["
1849,,,,,,
1850,,,,,,
1851,,,,,,
1852,,,,,,
1853,,,,,," United States"": ["
1854,,,,,,
1855,,,,,,
1856,,,,,,
1857,,,,,,
1858,,,,,," United States"": ["
1859,,,,,,
1860,,,,,,
1861,,,,,,
1862,,,,,,
1863,,,,,," United States"": ["
1864,,,,,,
1865,,,,,,
1866,,,,,,
1867,,,,,,
1868,,,,,," United States"": ["
1869,,,,,,
1870,,,,,,
1871,,,,,,
1872,,,,,,
1873,,,,,," United States"": ["
1874,,,,,,
1875,,,,,,
1876,,,,,,
1877,,,,,,
1878,,,,,," United States"": ["
1879,,,,,,
1880,,,,,,
1881,,,,,,
1882,,,,,,
1883,,,,,," United States"": ["
1884,,,,,,
1885,,,,,,
1886,,,,,,
1887,,,,,,
1888,,,,,," United States"": ["
1889,,,,,,
1890,,,,,,
1891,,,,,,
1892,,,,,,
1893,,,,,," United States"": ["
1894,,,,,,
1895,,,,,,
1896,,,,,,
1897,,,,,,
1898,,,,,," United States"": ["
1899,,,,,,
1900,,,,,,
1901,,,,,,
1902,,,,,,
1903,,,,,," United States"": ["
1904,,,,,,
1905,,,,,,
1906,,,,,,
1907,,,,,,
1908,,,,,," United States"": ["
1909,,,,,,
1910,,,,,,
1911,,,,,,
1912,,,,,,
1913,,,,,," United States"": ["
1914,,,,,,
1915,,,,,,
1916,,,,,,
1917,,,,,,
1918,,,,,," United States"": ["
1919,,,,,,
1920,,,,,,
1921,,,,,,
1922,,,,,,
1923,,,,,," United States"": ["
1924,,,,,,
1925,,,,,,
1926,,,,,,
1927,,,,,,
1928,,,,,," United States"": ["
1929,,,,,,
1930,,,,,,
1931,,,,,,
1932,,,,,,
1933,,,,,," United States"": ["
1934,,,,,,
1935,,,,,,
1936,,,,,,
1937,,,,,,
1938,,,,,," United States"": ["
1939,,,,,,
1940,,,,,,
1941,,,,,,
1942,,,,,,
1943,,,,,," United States"": ["
1944,,,,,,
1945,,,,,,
1946,,,,,,
1947,,,,,,
1948,,,,,," United States"": ["
1949,,,,,,
1950,,,,,,
1951,,,,,,
1952,,,,,,
1953,,,,,," United States"": ["
1954,,,,,,
1955,,,,,,
1956,,,,,,
1957,,,,,,
1958,,,,,," United States"": ["
1959,,,,,,
1960,,,,,,
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,,,,,,
1966,,,,,,
1967,,,,,," United States"": ["
1968,,,,,,
1969,,,,,,
1970,,,,,,
1971,,,,,,
1972,,,,,," United States"": ["
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,," United States"": ["
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,," United States"": ["
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,," United States"": ["
1988,,,,,,
1989,,,,,,
1990,,,,,,
1991,,,,,,
1992,,,,,," United States"": ["
1993,,,,,,
1994,,,,,,
1995,,,,,,
1996,,,,,,
1997,,,,,," United States"": ["
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,,,,,," United States"": ["
2003,,,,,,
2004,,,,,,
2005,,,,,,
2006,,,,,,
2007,,,,,," United States"": ["
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,,,,,," United States"": ["
2013,,,,,,
2014,,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,," United States"": ["
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,," United States"": ["
2023,,,,,,
2024,,,,,,
2025,,,,,,
2026,,,,,,
2027,,,,,," United States"": ["
2028,,,,,,
2029,,,,,,
2030,,,,,,
2031,,,,,,
2032,,,,,," United States"": ["
2033,,,,,,
2034,,,,,,
2035,,,,,,
2036,,,,,,
2037,,,,,," United States"": ["
2038,,,,,,
2039,,,,,,
2040,,,,,,
2041,,,,,,
2042,,,,,," United States"": ["
2043,,,,,,
2044,,,,,,
2045,,,,,,
2046,,,,,,
2047,,,,,," United States"": ["
2048,,,,,,
2049,,,,,,
2050,,,,,,
2051,,,,,,
2052,,,,,," United States"": ["
2053,,,,,,
2054,,,,,,
2055,,,,,,
2056,,,,,,
2057,,,,,," United States"": ["
2058,,,,,,
2059,,,,,,
2060,,,,,,
2061,,,,,,
2062,,,,,," United States"": ["
2063,,,,,,
2064,,,,,,
2065,,,,,,
2066,,,,,,
2067,,,,,," United States"": ["
2068,,,,,,
2069,,,,,,
2070,,,,,,
2071,,,,,,
2072,,,,,," United States"": ["
2073,,,,,,
2074,,,,,,
2075,,,,,,
2076,,,,,,
2077,,,,,," United States"": ["
2078,,,,,,
2079,,,,,,
2080,,,,,,
2081,,,,,,
2082,,,,,," United States"": ["
2083,,,,,,
2084,,,,,,
2085,,,,,,
2086,,,,,,
2087,,,,,," United States"": ["
2088,,,,,,
2089,,,,,,
2090,,,,,,
2091,,,,,,
2092,,,,,," United States"": ["
2093,,,,,,
2094,,,,,,
2095,,,,,,
2096,,,,,,
2097,,,,,," United States"": ["
2098,,,,,,
2099,,,,,,
2100,,,,,,
2101,,,,,,
2102,,,,,," United States"": ["
2103,,,,,,
2104,,,,,,
2105,,,,,,
2106,,,,,,
2107,,,,,," United States"": ["
2108,,,,,,
2109,,,,,,
2110,,,,,,
2111,,,,,,
2112,,,,,," United States"": ["
2113,,,,,,
2114,,,,,,
2115,,,,,,
2116,,,,,,
2117,,,,,," United States"": ["
2118,,,,,,
2119,,,,,,
2120,,,,,,
2121,,,,,,
2122,,,,,," United States"": ["
2123,,,,,,
2124,,,,,,
2125,,,,,,
2126,,,,,,
2127,,,,,," United States"": ["
2128,,,,,,
2129,,,,,,
2130,,,,,,
2131,,,,,,
2132,,,,,," United States"": ["
2133,,,,,,
2134,,,,,,
2135,,,,,,
2136,,,,,,
2137,,,,,," United States"": ["
2138,,,,,,
2139,,,,,,
2140,,,,,,
2141,,,,,,
2142,,,,,," United States"": ["
2143,,,,,,
2144,,,,,,
2145,,,,,,
2146,,,,,,
2147,,,,,," United States"": ["
2148,,,,,,
2149,,,,,,
2150,,,,,,
2151,,,,,,
2152,,,,,," United States"": ["
2153,,,,,,
2154,,,,,,
2155,,,,,,
2156,,,,,,
2157,,,,,," United States"": ["
2158,,,,,,
2159,,,,,,
2160,,,,,,
2161,,,,,,
2162,,,,,," United States"": ["
2163,,,,,,
2164,,,,,,
2165,,,,,,
2166,,,,,,
2167,,,,,," United States"": ["
2168,,,,,,
2169,,,,,,
2170,,,,,,
2171,,,,,,
2172,,,,,," United States"": ["
2173,,,,,,
2174,,,,,,
2175,,,,,,
2176,,,,,,
2177,,,,,," United States"": ["
2178,,,,,,
2179,,,,,,
2180,,,,,,
2181,,,,,,
2182,,,,,," United States"": ["
2183,,,,,,
2184,,,,,,
2185,,,,,,
2186,,,,,,
2187,,,,,," United States"": ["
2188,,,,,,
2189,,,,,,
2190,,,,,,
2191,,,,,,
2192,,,,,," United States"": ["
2193,,,,,,
2194,,,,,,
2195,,,,,,
2196,,,,,,
2197,,,,,," United States"": ["
2198,,,,,,
2199,,,,,,
2200,,,,,,
2201,,,,,,
2202,,,,,," United States"": ["
2203,,,,,,
2204,,,,,,
2205,,,,,,
2206,,,,,,
2207,,,,,," United States"": ["
2208,,,,,,
2209,,,,,,
2210,,,,,,
2211,,,,,,
2212,,,,,," United States"": ["
2213,,,,,,
2214,,,,,,
2215,,,,,,
2216,,,,,,
2217,,,,,," United States"": ["
2218,,,,,,
2219,,,,,,
2220,,,,,,
2221,,,,,,
2222,,,,,," United States"": ["
2223,,,,,,
2224,,,,,,
2225,,,,,,
2226,,,,,,
2227,,,,,," United States"": ["
2228,,,,,,
2229,,,,,,
2230,,,,,,
2231,,,,,,
2232,,,,,," United States"": ["
2233,,,,,,
2234,,,,,,
2235,,,,,,
2236,,,,,,
2237,,,,,," United States"": ["
2238,,,,,,
2239,,,,,,
2240,,,,,,
2241,,,,,,
2242,,,,,," United States"": ["
2243,,,,,,
2244,,,,,,
2245,,,,,,
2246,,,,,,
2247,,,,,," United States"": ["
2248,,,,,,
2249,,,,,,
2250,,,,,,
2251,,,,,,
2252,,,,,," United States"": ["
2253,,,,,,
2254,,,,,,
2255,,,,,,
2256,,,,,,
2257,,,,,," United States"": ["
2258,,,,,,
2259,,,,,,
2260,,,,,,
2261,,,,,,
2262,,,,,," United States"": ["
2263,,,,,,
2264,,,,,,
2265,,,,,,
2266,,,,,,
2267,,,,,," United States"": ["
2268,,,,,,
2269,,,,,,
2270,,,,,,
2271,,,,,,
2272,,,,,," United States"": ["
2273,,,,,,
2274,,,,,,
2275,,,,,,
2276,,,,,,
2277,,,,,," United States"": ["
2278,,,,,,
2279,,,,,,
2280,,,,,,
2281,,,,,,
2282,,,,,," United States"": ["
2283,,,,,,
2284,,,,,,
2285,,,,,,
2286,,,,,,
2287,,,,,," United States"": ["
2288,,,,,,
2289,,,,,,
2290,,,,,,
2291,,,,,,
2292,,,,,," United States"": ["
2293,,,,,,
2294,,,,,,
2295,,,,,,
2296,,,,,,
2297,,,,,," United States"": ["
2298,,,,,,
2299,,,,,,
2300,,,,,,
2301,,,,,,
2302,,,,,," United States"": ["
2303,,,,,,
2304,,,,,,
2305,,,,,,
2306,,,,,,
2307,,,,,," United States"": ["
2308,,,,,,
2309,,,,,,
2310,,,,,,
2311,,,,,,
2312,,,,,," United States"": ["
2313,,,,,,
2314,,,,,,
2315,,,,,,
2316,,,,,,
2317,,,,,," United States"": ["
2318,,,,,,
2319,,,,,,
2320,,,,,,
2321,,,,,,
2322,,,,,," United States"": ["
2323,,,,,,
2324,,,,,,
2325,,,,,,
2326,,,,,,
2327,,,,,," United States"": ["
2328,,,,,,
2329,,,,,,
2330,,,,,,
2331,,,,,,
2332,,,,,," United States"": ["
2333,,,,,,
2334,,,,,,
2335,,,,,,
2336,,,,,,
2337,,,,,," United States"": ["
2338,,,,,,
2339,,,,,,
2340,,,,,,
2341,,,,,,
2342,,,,,," United States"": ["
2343,,,,,,
2344,,,,,,
2345,,,,,,
2346,,,,,,
2347,,,,,," United States"": ["
2348,,,,,,
2349,,,,,,
2350,,,,,,
2351,,,,,,
2352,,,,,," United States"": ["
2353,,,,,,
2354,,,,,,
2355,,,,,,
2356,,,,,,
2357,,,,,," United States"": ["
2358,,,,,,
2359,,,,,,
2360,,,,,,
2361,,,,,,
2362,,,,,," United States"": ["
2363,,,,,,
2364,,,,,,
2365,,,,,,
2366,,,,,,
2367,,,,,," United States"": ["
2368,,,,,,
2369,,,,,,
2370,,,,,,
2371,,,,,,
2372,,,,,," United States"": ["
2373,,,,,,
2374,,,,,,
2375,,,,,,
2376,,,,,,
2377,,,,,," United States"": ["
2378,,,,,,
2379,,,,,,
2380,,,,,,
2381,,,,,,
2382,,,,,," United States"": ["
2383,,,,,,
2384,,,,,,
2385,,,,,,
2386,,,,,,
2387,,,,,," United States"": ["
2388,,,,,,
2389,,,,,,
2390,,,,,,
2391,,,,,,
2392,,,,,," United States"": ["
2393,,,,,,
2394,,,,,,
2395,,,,,,
2396,,,,,,
2397,,,,,," United States"": ["
2398,,,,,,
2399,,,,,,
2400,,,,,,
2401,,,,,,
2402,,,,,," United States"": ["
2403,,,,,,
2404,,,,,,
2405,,,,,,
2406,,,,,,
2407,,,,,," United States"": ["
2408,,,,,,
2409,,,,,,
2410,,,,,,
2411,,,,,,
2412,,,,,," United States"": ["
2413,,,,,,
2414,,,,,,
2415,,,,,,
2416,,,,,,
2417,,,,,," United States"": ["
2418,,,,,,
2419,,,,,,
2420,,,,,,
2421,,,,,,
2422,,,,,," United States"": ["
2423,,,,,,
2424,,,,,,
2425,,,,,,
2426,,,,,,
2427,,,,,," United States"": ["
2428,,,,,,
2429,,,,,,
2430,,,,,,
2431,,,,,,
2432,,,,,," United States"": ["
2433,,,,,,
2434,,,,,,
2435,,,,,,
2436,,,,,,
2437,,,,,," United States"": ["
2438,,,,,,
2439,,,,,,
2440,,,,,,
2441,,,,,,
2442,,,,,," United States"": ["
2443,,,,,,
2444,,,,,,
2445,,,,,,
2446,,,,,,
2447,,,,,," United States"": ["
2448,,,,,,
2449,,,,,,
2450,,,,,,
2451,,,,,,
2452,,,,,," United States"": ["
2453,,,,,,
2454,,,,,,
2455,,,,,,
2456,,,,,,
2457,,,,,," United States"": ["
2458,,,,,,
2459,,,,,,
2460,,,,,,
2461,,,,,,
2462,,,,,," United States"": ["
2463,,,,,,
2464,,,,,,
2465,,,,,,
2466,,,,,,
2467,,,,,," United States"": ["
2468,,,,,,
2469,,,,,,
2470,,,,,,
2471,,,,,,
2472,,,,,," United States"": ["
2473,,,,,,
2474,,,,,,
2475,,,,,,
2476,,,,,,
2477,,,,,," United States"": ["
2478,,,,,,
2479,,,,,,
2480,,,,,,
2481,,,,,,
2482,,,,,," United States"": ["
2483,,,,,,
2484,,,,,,
2485,,,,,,
2486,,,,,,
2487,,,,,," United States"": ["
2488,,,,,,
2489,,,,,,
2490,,,,,,
2491,,,,,,
2492,,,,,," United States"": ["
2493,,,,,,
2494,,,,,,
2495,,,,,,
2496,,,,,,
2497,,,,,," United States"": ["
2498,,,,,,
2499,,,,,,
2500,,,,,,
2501,,,,,,
2502,,,,,," United States"": ["
2503,,,,,,
2504,,,,,,
2505,,,,,,
2506,,,,,,
2507,,,,,," United States"": ["
2508,,,,,,
2509,,,,,,
2510,,,,,,
2511,,,,,,
2512,,,,,," United States"": ["
2513,,,,,,
2514,,,,,,
2515,,,,,,
2516,,,,,,
2517,,,,,," United States"": ["
2518,,,,,,
2519,,,,,,
2520,,,,,,
2521,,,,,,
2522,,,,,," United States"": ["
2523,,,,,,
2524,,,,,,
2525,,,,,,
2526,,,,,,
2527,,,,,," United States"": ["
2528,,,,,,
2529,,,,,,
2530,,,,,,
2531,,,,,,
2532,,,,,," United States"": ["
2533,,,,,,
2534,,,,,,
2535,,,,,,
2536,,,,,,
2537,,,,,," United States"": ["
2538,,,,,,
2539,,,,,,
2540,,,,,,
2541,,,,,,
2542,,,,,," United States"": ["
2543,,,,,,
2544,,,,,,
2545,,,,,,
2546,,,,,,
2547,,,,,," United States"": ["
2548,,,,,,
2549,,,,,,
2550,,,,,,
2551,,,,,,
2552,,,,,," United States"": ["
2553,,,,,,
2554,,,,,,
2555,,,,,,
2556,,,,,,
2557,,,,,," United States"": ["
2558,,,,,,
2559,,,,,,
2560,,,,,,
2561,,,,,,
2562,,,,,," United States"": ["
2563,,,,,,
2564,,,,,,
2565,,,,,,
2566,,,,,,
2567,,,,,," United States"": ["
2568,,,,,,
2569,,,,,,
2570,,,,,,
2571,,,,,,
2572,,,,,," United States"": ["
2573,,,,,,
2574,,,,,,
2575,,,,,,
2576,,,,,,
2577,,,,,," United States"": ["
2578,,,,,,
2579,,,,,,
2580,,,,,,
2581,,,,,,
2582,,,,,," United States"": ["
2583,,,,,,
2584,,,,,,
2585,,,,,,
2586,,,,,,
2587,,,,,," United States"": ["
2588,,,,,,
2589,,,,,,
2590,,,,,,
2591,,,,,,
2592,,,,,," United States"": ["
2593,,,,,,
2594,,,,,,
2595,,,,,,
2596,,,,,,
2597,,,,,," United States"": ["
2598,,,,,,
2599,,,,,,
2600,,,,,,
2601,,,,,,
2602,,,,,," United States"": ["
2603,,,,,,
2604,,,,,,
2605,,,,,,
2606,,,,,,
2607,,,,,," United States"": ["
2608,,,,,,
2609,,,,,,
2610,,,,,,
2611,,,,,,
2612,,,,,," United States"": ["
2613,,,,,,
2614,,,,,,
2615,,,,,,
2616,,,,,,
2617,,,,,," United States"": ["
2618,,,,,,
2619,,,,,,
2620,,,,,,
2621,,,,,,
2622,,,,,," United States"": ["
2623,,,,,,
2624,,,,,,
2625,,,,,,
2626,,,,,,
2627,,,,,," United States"": ["
2628,,,,,,
2629,,,,,,
2630,,,,,,
2631,,,,,,
2632,,,,,," United States"": ["
2633,,,,,,
2634,,,,,,
2635,,,,,,
2636,,,,,,
2637,,,,,," United States"": ["
2638,,,,,,
2639,,,,,,
2640,,,,,,
2641,,,,,,
2642,,,,,," United States"": ["
2643,,,,,,
2644,,,,,,
2645,,,,,,
2646,,,,,,
2647,,,,,," United States"": ["
2648,,,,,,
2649,,,,,,
2650,,,,,,
2651,,,,,,
2652,,,,,," United States"": ["
2653,,,,,,
2654,,,,,,
2655,,,,,,
2656,,,,,,
2657,,,,,," United States"": ["
2658,,,,,,
2659,,,,,,
2660,,,,,,
2661,,,,,,
2662,,,,,," United States"": ["
2663,,,,,,
2664,,,,,,
2665,,,,,,
2666,,,,,,
2667,,,,,," United States"": ["
2668,,,,,,
2669,,,,,,
2670,,,,,,
2671,,,,,,
2672,,,,,," United States"": ["
2673,,,,,,
2674,,,,,,
2675,,,,,,
2676,,,,,,
2677,,,,,," United States"": ["
2678,,,,,,
2679,,,,,,
2680,,,,,,
2681,,,,,,
2682,,,,,," United States"": ["
2683,,,,,,
2684,,,,,,
2685,,,,,,
2686,,,,,,
2687,,,,,," United States"": ["
2688,,,,,,
2689,,,,,,
2690,,,,,,
2691,,,,,,
2692,,,,,," United States"": ["
2693,,,,,,
2694,,,,,,
2695,,,,,,
2696,,,,,,
2697,,,,,," United States"": ["
2698,,,,,,
2699,,,,,,
2700,,,,,,
2701,,,,,,
2702,,,,,," United States"": ["
2703,,,,,,
2704,,,,,,
2705,,,,,,
2706,,,,,,
2707,,,,,," United States"": ["
2708,,,,,,
2709,,,,,,
2710,,,,,,
2711,,,,,,
2712,,,,,," United States"": ["
2713,,,,,,
2714,,,,,,
2715,,,,,,
2716,,,,,,
2717,,,,,," United States"": ["
2718,,,,,,
2719,,,,,,
2720,,,,,,
2721,,,,,,
2722,,,,,," United States"": ["
2723,,,,,,
2724,,,,,,
2725,,,,,,
2726,,,,,,
2727,,,,,," United States"": ["
2728,,,,,,
2729,,,,,,
2730,,,,,,
2731,,,,,,
2732,,,,,," United States"": ["
2733,,,,,,
2734,,,,,,
2735,,,,,,
2736,,,,,,
2737,,,,,," United States"": ["
2738,,,,,,
2739,,,,,,
2740,,,,,,
2741,,,,,,
2742,,,,,," United States"": ["
2743,,,,,,
2744,,,,,,
2745,,,,,,
2746,,,,,,
2747,,,,,," United States"": ["
2748,,,,,,
2749,,,,,,
2750,,,,,,
2751,,,,,,
2752,,,,,," United States"": ["
2753,,,,,,
2754,,,,,,
2755,,,,,,
2756,,,,,,
2757,,,,,," United States"": ["
2758,,,,,,
2759,,,,,,
2760,,,,,,
2761,,,,,,
2762,,,,,," United States"": ["
2763,,,,,,
2764,,,,,,
2765,,,,,,
2766,,,,,,
2767,,,,,," United States"": ["
2768,,,,,,
2769,,,,,,
2770,,,,,,
2771,,,,,,
2772,,,,,," United States"": ["
2773,,,,,,
2774,,,,,,
2775,,,,,,
2776,,,,,,
2777,,,,,," United States"": ["
2778,,,,,,
2779,,,,,,
2780,,,,,,
2781,,,,,,
2782,,,,,," United States"": ["
2783,,,,,,
2784,,,,,,
2785,,,,,,
2786,,,,,,
2787,,,,,," United States"": ["
2788,,,,,,
2789,,,,,,
2790,,,,,,
2791,,,,,,
2792,,,,,," United States"": ["
2793,,,,,,
2794,,,,,,
2795,,,,,,
2796,,,,,,
2797,,,,,," United States"": ["
2798,,,,,,
2799,,,,,,
2800,,,,,,
2801,,,,,,
2802,,,,,," United States"": ["
2803,,,,,,
2804,,,,,,
2805,,,,,,
2806,,,,,,
2807,,,,,," United States"": ["
2808,,,,,,
2809,,,,,,
2810,,,,,,
2811,,,,,,
2812,,,,,," United States"": ["
2813,,,,,,
2814,,,,,,
2815,,,,,,
2816,,,,,,
2817,,,,,," United States"": ["
2818,,,,,,
2819,,,,,,
2820,,,,,,
2821,,,,,,
2822,,,,,," United States"": ["
2823,,,,,,
2824,,,,,,
2825,,,,,,
2826,,,,,,
2827,,,,,," United States"": ["
2828,,,,,,
2829,,,,,,
2830,,,,,,
2831,,,,,,
2832,,,,,," United States"": ["
2833,,,,,,
2834,,,,,,
2835,,,,,,
2836,,,,,,
2837,,,,,," United States"": ["
2838,,,,,,
2839,,,,,,
2840,,,,,,
2841,,,,,,
2842,,,,,," United States"": ["
2843,,,,,,
2844,,,,,,
2845,,,,,,
2846,,,,,,
2847,,,,,," United States"": ["
2848,,,,,,
2849,,,,,,
2850,,,,,,
2851,,,,,,
2852,,,,,," United States"": ["
2853,,,,,,
2854,,,,,,
2855,,,,,,
2856,,,,,,
2857,,,,,," United States"": ["
2858,,,,,,
2859,,,,,,
2860,,,,,,
2861,,,,,,
2862,,,,,," United States"": ["
2863,,,,,,
2864,,,,,,
2865,,,,,,
2866,,,,,,
2867,,,,,," United States"": ["
2868,,,,,,
2869,,,,,,
2870,,,,,,
2871,,,,,,
2872,,,,,," United States"": ["
2873,,,,,,
2874,,,,,,
2875,,,,,,
2876,,,,,,
2877,,,,,," United States"": ["
2878,,,,,,
2879,,,,,,
2880,,,,,,
2881,,,,,,
2882,,,,,," United States"": ["
2883,,,,,,
2884,,,,,,
2885,,,,,,
2886,,,,,,
2887,,,,,," United States"": ["
2888,,,,,,
2889,,,,,,
2890,,,,,,
2891,,,,,,
2892,,,,,," United States"": ["
2893,,,,,,
2894,,,,,,
2895,,,,,,
2896,,,,,,
2897,,,,,," United States"": ["
2898,,,,,,
2899,,,,,,
2900,,,,,,
2901,,,,,,
2902,,,,,," United States"": ["
2903,,,,,,
2904,,,,,,
2905,,,,,,
2906,,,,,,
2907,,,,,," United States"": ["
2908,,,,,,
2909,,,,,,
2910,,,,,,
2911,,,,,,
2912,,,,,," United States"": ["
2913,,,,,,
2914,,,,,,
2915,,,,,,
2916,,,,,,
2917,,,,,," United States"": ["
2918,,,,,,
2919,,,,,,
2920,,,,,,
2921,,,,,,
2922,,,,,," United States"": ["
2923,,,,,,
2924,,,,,,
2925,,,,,,
2926,,,,,,
2927,,,,,," United States"": ["
2928,,,,,,
2929,,,,,,
2930,,,,,,
2931,,,,,,
2932,,,,,," United States"": ["
2933,,,,,,
2934,,,,,,
2935,,,,,,
2936,,,,,,
2937,,,,,," United States"": ["
2938,,,,,,
2939,,,,,,
2940,,,,,,
2941,,,,,,
2942,,,,,," United States"": ["
2943,,,,,,
2944,,,,,,
2945,,,,,,
2946,,,,,,
2947,,,,,," United States"": ["
2948,,,,,,
2949,,,,,,
2950,,,,,,
2951,,,,,,
2952,,,,,," United States"": ["
2953,,,,,,
2954,,,,,,
2955,,,,,,
2956,,,,,,
2957,,,,,," United States"": ["
2958,,,,,,
2959,,,,,,
2960,,,,,,
2961,,,,,,
2962,,,,,," United States"": ["
2963,,,,,,
2964,,,,,,
2965,,,,,,
2966,,,,,,
2967,,,,,," United States"": ["
2968,,,,,,
2969,,,,,,
2970,,,,,,
2971,,,,,,
2972,,,,,," United States"": ["
2973,,,,,,
2974,,,,,,
2975,,,,,,
2976,,,,,,
2977,,,,,," United States"": ["
2978,,,,,,
